name*,version*,license*,vendor/community,end-of-support,dependencies,language
ajv,6.9.2,MIT,https://github.com/epoberezkin/ajv,,,
asn1,0.2.4,MIT,https://github.com/joyent/node-asn1,,,
assert-plus,1.0.0,MIT,https://github.com/mcavage/node-assert-plus,,,
async,2.6.2,MIT,https://github.com/caolan/async,,,
asynckit,0.4.0,MIT,https://github.com/alexindigo/asynckit,,,
aws-sign2,0.7.0,Apache-2.0,https://github.com/mikeal/aws-sign,,,
aws4,1.8.0,MIT,https://github.com/mhart/aws4,,,
bcrypt-pbkdf,1.0.2,BSD-3-Clause,https://github.com/joyent/node-bcrypt-pbkdf,,,
bluebird,3.5.3,MIT,https://github.com/petkaantonov/bluebird,,,
caseless,0.12.0,Apache-2.0,https://github.com/mikeal/caseless,,,
combined-stream,1.0.7,MIT,https://github.com/felixge/node-combined-stream,,,
core-util-is,1.0.2,MIT,https://github.com/isaacs/core-util-is,,,
dashdash,1.14.1,MIT,https://github.com/trentm/node-dashdash,,,
date-format,2.0.0,MIT,https://github.com/nomiddlename/date-format,,,
debug,3.2.6,MIT,https://github.com/visionmedia/debug,,,
delayed-stream,1.0.0,MIT,https://github.com/felixge/node-delayed-stream,,,
ecc-jsbn,0.1.2,MIT,https://github.com/quartzjer/ecc-jsbn,,,
extend,3.0.2,MIT,https://github.com/justmoon/node-extend,,,
extsprintf,1.3.0,MIT,https://github.com/davepacheco/node-extsprintf,,,
fast-deep-equal,2.0.1,MIT,https://github.com/epoberezkin/fast-deep-equal,,,
fast-json-stable-stringify,2.0.0,MIT,https://github.com/epoberezkin/fast-json-stable-stringify,,,
flatted,2.0.0,ISC,https://github.com/WebReflection/flatted,,,
forever-agent,0.6.1,Apache-2.0,https://github.com/mikeal/forever-agent,,,
form-data,2.3.3,MIT,https://github.com/form-data/form-data,,,
fs-extra,7.0.1,MIT,https://github.com/jprichardson/node-fs-extra,,,
getpass,0.1.7,MIT,https://github.com/arekinath/node-getpass,,,
graceful-fs,4.1.15,ISC,https://github.com/isaacs/node-graceful-fs,,,
har-schema,2.0.0,ISC,https://github.com/ahmadnassri/har-schema,,,
har-validator,5.1.3,MIT,https://github.com/ahmadnassri/node-har-validator,,,
http-signature,1.2.0,MIT,https://github.com/joyent/node-http-signature,,,
ioconsumer,1.0.0,ISC,,,,
is-typedarray,1.0.0,MIT,https://github.com/hughsk/is-typedarray,,,
isstream,0.1.2,MIT,https://github.com/rvagg/isstream,,,
jsbn,0.1.1,MIT,https://github.com/andyperlitch/jsbn,,,
json-schema-traverse,0.4.1,MIT,https://github.com/epoberezkin/json-schema-traverse,,,
json-schema,0.2.3,AFLv2.1,BSD,https://github.com/kriszyp/json-schema,,,
json-stringify-safe,5.0.1,ISC,https://github.com/isaacs/json-stringify-safe,,,
jsonfile,4.0.0,MIT,https://github.com/jprichardson/node-jsonfile,,,
jsprim,1.4.1,MIT,https://github.com/joyent/node-jsprim,,,
lodash,4.17.11,MIT,https://github.com/lodash/lodash,,,
log4js,4.0.2,Apache-2.0,https://github.com/log4js-node/log4js-node,,,
mime-db,1.38.0,MIT,https://github.com/jshttp/mime-db,,,
mime-types,2.1.22,MIT,https://github.com/jshttp/mime-types,,,
ms,2.1.1,MIT,https://github.com/zeit/ms,,,
oauth-sign,0.9.0,Apache-2.0,https://github.com/mikeal/oauth-sign,,,
performance-now,2.1.0,MIT,https://github.com/braveg1rl/performance-now,,,
psl,1.1.31,MIT,https://github.com/wrangr/psl,,,
punycode,1.4.1,MIT,https://github.com/bestiejs/punycode.js,,,
punycode,2.1.1,MIT,https://github.com/bestiejs/punycode.js,,,
qs,6.5.2,BSD-3-Clause,https://github.com/ljharb/qs,,,
request-promise-core,1.1.2,ISC,https://github.com/request/promise-core,,,
request-promise,4.2.4,ISC,https://github.com/request/request-promise,,,
request,2.88.0,Apache-2.0,https://github.com/request/request,,,
rfdc,1.1.2,MIT,https://github.com/davidmarkclements/rfdc,,,
safe-buffer,5.1.2,MIT,https://github.com/feross/safe-buffer,,,
safer-buffer,2.1.2,MIT,https://github.com/ChALkeR/safer-buffer,,,
sshpk,1.16.1,MIT,https://github.com/joyent/node-sshpk,,,
stealthy-require,1.1.1,ISC,https://github.com/analog-nico/stealthy-require,,,
streamroller,1.0.3,MIT,https://github.com/nomiddlename/streamroller,,,
tough-cookie,2.4.3,BSD-3-Clause,https://github.com/salesforce/tough-cookie,,,
tough-cookie,2.5.0,BSD-3-Clause,https://github.com/salesforce/tough-cookie,,,
tunnel-agent,0.6.0,Apache-2.0,https://github.com/mikeal/tunnel-agent,,,
tweetnacl,0.14.5,Unlicense,https://github.com/dchest/tweetnacl-js,,,
universalify,0.1.2,MIT,https://github.com/RyanZim/universalify,,,
uri-js,4.2.2,BSD-2-Clause,https://github.com/garycourt/uri-js,,,
uuid,3.3.2,MIT,https://github.com/kelektiv/node-uuid,,,
verror,1.10.0,MIT,https://github.com/davepacheco/node-verror,,,